,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,11642,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19742965.0,19742965.0,False,,1,,,,2024-08-21T12:21:00.000Z,59306.44800052653,26922941026.961075,-4.106,-0.19722918,-2.25423016,-3.39501953,-12.1994746,-7.70767605,-15.04924894,1170885127148.7153,55.7937,1245435408011.06,,2024-08-21T12:21:00.000Z,,,,,,2024-08-21 14:24:28.617880
1,1027,Ethereum,ETH,ethereum,9236,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120291369.66511151,120291369.66511151,True,,2,,,,2024-08-21T12:20:00.000Z,2574.4470400443556,11898817292.0559,-2.4069,-0.42179306,-2.84065822,-6.26639276,-26.3962676,-26.23575044,-34.41009499,309683760577.2277,14.7594,309683760577.23,,2024-08-21T12:20:00.000Z,,,,,,2024-08-21 14:24:28.617880
2,825,Tether USDt,USDT,tether,94982,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,117294453952.9654,120258419915.70276,True,,3,,,,2024-08-21T12:20:00.000Z,1.000202792924405,47570333874.90701,-1.9856,-0.00723006,-0.02956015,-0.03938705,0.0102927,0.07298532,0.07398051,117318240438.29901,5.5915,120282807472.36,,2024-08-21T12:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-21 14:24:28.617880
3,1839,BNB,BNB,bnb,2214,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145935901.6971018,145935901.6971018,False,,4,,,,2024-08-21T12:20:00.000Z,553.4383960301459,2044868336.3381987,10.8522,-0.47814079,-2.87069324,4.35049725,-7.61704576,-5.6500252,-9.54400416,80766531358.45706,3.8772,80766531358.46,,2024-08-21T12:20:00.000Z,,,,,,2024-08-21 14:24:28.617880
4,5426,Solana,SOL,solana,721,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466430705.2312667,582728435.897575,True,,5,,,,2024-08-21T12:20:00.000Z,141.16459092649967,1628035511.4807756,-26.6663,-0.52107951,-3.31708782,-4.84140564,-21.55038044,5.07397679,-19.74881997,65843499699.53051,3.139,82260621274.72,,2024-08-21T12:20:00.000Z,,,,,,2024-08-21 14:24:28.617880
5,3408,USDC,USDC,usd-coin,21592,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34832300485.70086,34832300485.70086,False,,6,,,,2024-08-21T12:20:00.000Z,0.9999659444032367,4817781526.247151,-1.98,-0.01409516,-0.00375841,-0.01374387,-0.00258513,-0.00453314,-0.0043893,34831114250.92118,1.6721,34831114250.92,,2024-08-21T12:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-08-21 14:24:28.617880
6,52,XRP,XRP,xrp,1369,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56113081096.0,99987342059.0,False,,7,,,,2024-08-21T12:20:00.000Z,0.5938128322070181,1121137609.3206804,-24.8936,-0.80709149,-2.11233606,2.49072536,-2.65341706,22.26775271,12.29194775,33320667609.477848,1.5881,59381283220.7,,2024-08-21T12:20:00.000Z,,,,,,2024-08-21 14:24:28.617880
7,11419,Toncoin,TON,toncoin,518,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2525488011.3908396,5110813859.824736,True,,8,3414166606.0,22991202201.176003,,2024-08-21T12:20:00.000Z,6.734059831987005,239175596.46467572,-17.6108,0.01286404,-1.53653695,-5.35722391,-4.27991494,-6.34750616,4.19971542,17006787373.671793,0.8104,34416526322.21,,2024-08-21T12:20:00.000Z,,,,,,2024-08-21 14:24:28.617880
8,74,Dogecoin,DOGE,dogecoin,1041,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145624756383.70523,145624756383.70523,True,,9,,,,2024-08-21T12:20:00.000Z,0.10351242193273252,490533519.9339465,-22.4905,-0.51502075,-1.59904506,-2.19648477,-25.05238837,-16.79972838,-38.3949394,15073971226.64148,0.7236,15073971226.64,,2024-08-21T12:20:00.000Z,,,,,,2024-08-21 14:24:28.617880
9,1958,TRON,TRX,tron,1013,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86913249706.19148,86913425699.51657,True,,10,71659659264.0,11808664129.71239,,2024-08-21T12:20:00.000Z,0.16478817023408265,1877809120.2963986,124.8133,-0.3965323,10.44653937,26.0735459,22.54927029,37.69787727,39.90486027,14322275388.181215,0.6828,14322304389.8,,2024-08-21T12:20:00.000Z,,,,,,2024-08-21 14:24:28.617880
